,lat,lon,popdens
0,69.375,88.125,2102.98
1,65.125,57.375,790.02
2,64.875,-147.875,382.54
3,64.375,40.875,819.19
4,64.125,-21.875,396.67
5,63.375,10.125,442.25
6,63.375,10.375,442.25
7,63.375,10.625,368.92
8,63.125,75.375,2180.63
9,62.625,29.625,266.19
10,61.875,34.375,355.78
11,61.625,23.875,355.78
12,61.625,50.875,276.02
13,61.625,51.125,296.78
14,61.625,75.125,296.78
15,61.375,47.125,1220.71
16,61.125,-149.875,1220.71
17,60.875,26.625,426.5
18,60.375,5.375,511.28
19,60.375,22.125,734.75
20,60.375,24.625,475.52
21,60.375,24.875,761.89
22,60.375,25.125,458.58
23,60.125,10.625,256.71
24,60.125,24.625,591.09
25,59.875,10.375,458.58
26,59.875,10.625,276.02
27,59.875,10.875,1135.32
28,59.875,29.875,2344.65
29,59.875,30.125,2344.65
30,59.875,30.375,1463.37
31,59.625,30.125,1517.41
32,59.625,30.375,1463.37
33,59.625,60.625,256.71
34,59.375,17.875,2521.01
35,59.375,18.125,2028.09
36,59.375,18.375,396.67
37,59.375,24.625,982.03
38,59.375,26.375,913.33
39,59.375,28.125,982.03
40,59.375,56.875,286.22
41,59.125,10.125,307.74
42,59.125,10.375,396.67
43,59.125,17.875,368.92
44,59.125,39.875,5597.98
45,58.375,42.375,1754.26
46,58.125,8.125,256.71
47,58.125,56.375,591.09
48,58.125,56.625,319.11
49,57.875,12.125,819.19
50,57.875,59.875,319.11
51,57.625,-3.375,319.11
52,57.625,11.875,1135.32
53,57.125,-2.125,3493.87
54,57.125,24.875,343.11
55,56.875,24.375,790.02
56,56.875,35.875,2614.1
57,56.875,41.375,2180.63
58,56.875,53.125,2521.01
59,56.875,60.625,1312.53
60,56.875,60.875,442.25
61,56.875,61.375,2261.16
62,56.625,23.625,355.78
63,56.625,60.625,319.11
64,56.625,84.875,3622.89
65,56.375,43.875,4503.43
66,56.375,90.625,1955.86
67,56.375,101.625,2710.63
68,56.125,-3.875,426.5
69,56.125,-3.375,493.08
70,56.125,-3.125,913.33
71,56.125,10.125,612.92
72,56.125,12.625,266.19
73,56.125,40.375,734.75
74,56.125,93.375,982.03
75,56.125,95.625,947.06
76,55.875,-4.375,2810.73
77,55.875,-4.125,2431.23
78,55.875,-3.625,343.11
79,55.875,-3.125,296.78
80,55.875,9.875,296.78
81,55.875,12.375,426.5
82,55.875,23.375,330.89
83,55.875,36.875,1573.44
84,55.875,37.375,4669.73
85,55.875,37.625,2261.16
86,55.875,49.125,3022.14
87,55.625,-4.625,761.89
88,55.625,12.125,659.02
89,55.625,12.375,1177.24
90,55.625,21.125,1411.26
91,55.625,37.375,4188.39
92,55.625,37.625,10000.0
93,55.625,37.875,1754.26
94,55.625,40.625,2102.98
95,55.375,10.375,591.09
96,55.375,11.125,266.19
97,55.375,65.375,1955.86
98,55.125,-6.625,683.35
99,55.125,-1.625,368.92
100,55.125,61.375,2521.01
101,55.125,61.625,819.19
102,55.125,82.875,2810.73
103,55.125,124.625,683.35
104,54.875,-6.375,396.67
105,54.875,-5.875,396.67
106,54.875,-1.875,276.02
107,54.875,-1.625,734.75
108,54.875,-1.375,1055.9
109,54.875,11.125,368.92
110,54.875,23.875,1177.24
111,54.875,37.375,659.02
112,54.875,46.625,819.19
113,54.875,56.125,2431.23
114,54.875,56.375,1411.26
115,54.875,61.125,411.31
116,54.875,69.125,1177.24
117,54.875,83.125,2810.73
118,54.625,-5.625,2028.09
119,54.625,-1.625,256.71
120,54.625,-1.375,734.75
121,54.625,18.375,256.71
122,54.625,20.375,319.11
123,54.625,25.125,1411.26
124,54.625,25.375,790.02
125,54.625,31.875,493.08
126,54.625,36.375,296.78
127,54.625,39.625,1517.41
128,54.375,-7.625,570.04
129,54.375,-6.625,819.19
130,54.375,16.625,330.89
131,54.375,18.625,1691.79
132,54.375,48.375,1177.24
133,54.125,-113.875,276.02
134,54.125,-6.375,276.02
135,54.125,12.125,1094.89
136,54.125,37.625,2102.98
137,54.125,45.125,1265.79
138,54.125,45.375,475.52
139,53.875,-2.875,330.89
140,53.875,-2.625,880.81
141,53.875,-2.125,530.16
142,53.875,-1.875,1265.79
143,53.875,-1.625,1312.53
144,53.875,-1.375,1177.24
145,53.875,10.375,256.71
146,53.875,10.625,982.03
147,53.875,22.375,530.16
148,53.875,27.625,6471.78
149,53.625,-113.625,1265.79
150,53.625,-113.375,1055.9
151,53.625,-6.625,368.92
152,53.625,-2.875,286.22
153,53.625,-2.625,493.08
154,53.625,-2.375,1517.41
155,53.625,-2.125,1220.71
156,53.625,-1.875,913.33
157,53.625,-1.625,947.06
158,53.625,-1.375,947.06
159,53.625,9.625,442.25
160,53.625,9.875,442.25
161,53.625,10.125,2261.16
162,53.625,10.375,296.78
163,53.625,11.375,635.55
164,53.625,17.375,493.08
165,53.625,53.625,319.11
166,53.375,-6.375,2344.65
167,53.375,-3.375,256.71
168,53.375,-3.125,1177.24
169,53.375,-2.875,2810.73
170,53.375,-2.625,1177.24
171,53.375,-2.375,635.55
172,53.375,-2.125,1517.41
173,53.375,-1.625,530.16
174,53.375,-1.375,1265.79
175,53.375,-1.125,493.08
176,53.375,6.875,256.71
177,53.375,7.125,458.58
178,53.375,14.625,411.31
179,53.375,51.375,2028.09
180,53.375,58.875,612.92
181,53.375,59.125,1135.32
182,53.375,69.375,276.02
183,53.375,83.625,790.02
184,53.375,83.875,790.02
185,53.125,-6.125,426.5
186,53.125,-3.125,307.74
187,53.125,-2.875,266.19
