,ID,REGION,SUBREGION,COUNTRY,LOCATION,LAT,LON,REEF_SYSTEM,REEF_TYPE,REEF_NAME,WATER_DEPTH,ISLAND_NAME,PROTECTED,TOURISM,COUNTRY_CODE,SIZE
83,155,,,,,28.41667,-178.33333000000002,NW Hawaiian Islands,Atoll,Kure Atoll,,Hawaiian islands,Yes,0,,3
109,126,,,,,-0.8,-176.63333,Howland Island,Fringing,Howland Island,,Howland Island,Yes,0,,3
110,33,,,,,0.21666999999999997,-176.48333,Baker Island,Fringing,Baker Island,,,Yes,0,,3
118,1347,Pacific,Southeast and Central Pacific,Tonga,,-21.058329999999998,-175.32166999999998,Tongatapu Group,,Ha'atafu Beach,,,Yes,0,,3
122,1348,Pacific,Southeast and Central Pacific,Tonga,,-21.0,-175.2,Tongatapu Group,Barrier,Hakau mama'o Reef,,,Yes,0,,3
125,1366,Pacific,Southeast and Central Pacific,Tonga,,-21.116670000000003,-175.15,Tongatapu Group,Fringing,Pangaimotu,,Vava'u Group,Yes,0,,3
128,1357,Pacific,Southeast and Central Pacific,Tonga,,-21.03333,-175.11667,Tongatapu Group,Fringing,Malinoa,,,Yes,0,,3
188,1234,Pacific,Southeast and Central Pacific,Kiribati,,-3.6333300000000004,-174.1,Phoenix Islands,,McKean Island,,Phoenix Islands,Yes,0,,3
243,1232,Pacific,Southeast and Central Pacific,Kiribati,,-3.6,-171.46667,Phoenix Islands,Fringing,Birnie Island,,Phoenix Islands,Yes,0,,3
267,84,Pacific,Micronesia,American Samoa,,-14.383329999999999,-170.76667,Tutuila Island,Fringing,Fagatele Bay,36.0,Tutuila Island,Yes,0,,3
283,1235,Pacific,Southeast and Central Pacific,Kiribati,,-3.7,-170.71667,Phoenix Islands,Atoll,Rawaki,,Phoenix Islands,Yes,0,,3
353,1353,,,,,16.73333,-169.53333,Johnston Atoll,Atoll,Johnston Atoll,,,Yes,0,,3
361,319,Pacific,Micronesia,American Samoa,,-14.53333,-168.13333,American Samoa,Atoll,Rose Atoll,,Rose Atoll,Yes,0,,3
521,3582,,,,,19.46667,-155.93333,Hawaii,Non-reef coral community,Kealekekua Bay,,Hawaiian Islands,Yes,1,,3
530,3586,,,,,19.883329999999997,-155.11667,Maui Island,,Wailea,,Hawaiian Islands,Yes,1,,3
538,1237,Pacific,Southeast and Central Pacific,Kiribati,,-10.1,-152.38333,Southern Line Islands,,Vostock Island,,Southern Line Islands,Yes,0,,3
681,1546,,,,,-24.366670000000003,-128.46667,Henderson,Fringing,Henderson Island,,Pitcairn Group,Yes,0,,3
696,3453,Americas,Mesoamerica,Mexico,,22.85,-109.1,Cabo San Lucas,,Cabo San Lucas,,,Yes,1,,3
737,1690,Americas,Southern Tropical America,Ecuador,,-0.26666999999999996,-90.55,Fernandina Island,Non-reef coral community,Espinosa Point ( Punta Espinosa ),3.0,Galapagos Islands,Yes,0,,3
744,1689,Americas,Southern Tropical America,Ecuador,,-1.23333,-90.38333,Floreana Island,Non-reef coral community,Champion Island,23.0,Galapagos Islands,Yes,0,,3
745,763,Americas,Southern Tropical America,Ecuador,,-0.65,-90.38333,Ecuador,Non-reef coral community,Galapagos Islands,,Galapagos Islands,Yes,1,,3
749,1687,Americas,Southern Tropical America,Ecuador,,-0.75,-90.3,Galapagos Island,Non-reef coral community,Santa Cruz Island ( Indefatigable ),,Galapagos Islands,Yes,0,,3
750,1688,Americas,Southern Tropical America,Ecuador,,-1.2166700000000001,-90.3,Floreana Island,Non-reef coral community,Onslow Island ( Devil's Crown ),,Galapagos Island,Yes,0,,3
771,1187,Americas,Mesoamerica,Honduras,,16.133329999999997,-88.16667,Cayos Zapotillos,,Cayos Zapotillos,,,Yes,0,,3
778,1131,Americas,Mesoamerica,Belize,,16.866670000000003,-88.1,Belizean Barrier Reef,,Man-o-War Cay,,,Yes,1,,3
801,1130,Americas,Mesoamerica,Belize,,17.866670000000003,-88.0,Belizean Barrier Reef,Barrier,Hol Chan,,,Yes,1,,3
809,1190,Americas,Mesoamerica,Honduras,,13.183329999999998,-87.81667,Guapinol,,Guapinol,,,Yes,0,,3
812,1196,Americas,Mesoamerica,Honduras,,15.933329999999998,-87.8,Punta Sal,,Punta Sal,,,Yes,0,,3
817,1194,Americas,Mesoamerica,Honduras,,13.183329999999998,-87.68333,Monte Cristo,,Monte Cristo,,,Yes,0,,3
819,1189,Americas,Mesoamerica,Honduras,,13.25,-87.63333,El Quebrachal,,El Quebrachal,,,Yes,0,,3
820,1191,Americas,Mesoamerica,Honduras,,13.2,-87.63333,La Alemania,,La Alemania,,,Yes,0,,3
823,1129,Americas,Mesoamerica,Belize,,17.15,-87.56667,Belizean Barrier Reef,Atoll,Half Moon Caye,,,Yes,1,,3
825,1188,Americas,Mesoamerica,Honduras,,13.28333,-87.53333,El Jicarito,,El Jicarito,,,Yes,0,,3
833,1257,Americas,Mesoamerica,Mexico,,20.116670000000003,-87.28333,Great Maya Reef,,Tulum,,,Yes,0,,3
845,1108,Americas,Southern Tropical America,Costa Rica,,5.53333,-87.06667,Isla del Coco,Fringing,Isla del Coco,,,Yes,1,,3
875,71,Americas,Mesoamerica,Mexico,,20.46667,-86.96667,Great Maya Reef,Fringing,Cozumel,,Cozumel,Yes,1,,3
876,1197,Americas,Mesoamerica,Honduras,,16.1,-86.95,Roatan Island,,Ragged Cay,,,Yes,0,,3
882,1255,Americas,Mesoamerica,Mexico,,21.5,-86.81667,Great Maya Reef,Fringing,Contoy Island ( Isla Contoy ),,,Yes,0,,3
887,1254,Americas,Mesoamerica,Mexico,,21.23333,-86.73333000000001,Great Maya Reef,Fringing/Patch Reef,Mujeres Island ( Isla Mujeres ),,Isla Mujeres,Yes,1,,3
889,1198,Americas,Mesoamerica,Honduras,,16.28333,-86.6,Bay Islands,Fringing/Patch Reef,West End,,Bay Islands,Yes,1,,3
