,ID,REGION,SUBREGION,COUNTRY,LOCATION,LAT,LON,REEF_SYSTEM,REEF_TYPE,REEF_NAME,WATER_DEPTH,ISLAND_NAME,PROTECTED,TOURISM,COUNTRY_CODE,SIZE
0,62,Pacific,Southwest Pacific,Fiji,,-16.0,-179.98333,Vanua Levu,Fringing,Cikobia,,Vanua Levu,No,0,,3
1,4475,Pacific,Southwest Pacific,Fiji,,-17.5,-179.95,Vanua Balavu,Barrier,Daku Barrier Reef,,,No,0,,3
2,4457,Pacific,Southwest Pacific,Fiji,,-16.66667,-179.83333000000002,Taveuni,Fringing,Korolevu,,,No,0,,3
3,4459,Pacific,Southwest Pacific,Fiji,,-16.73333,-179.83333000000002,Taveuni,Fringing,Viubani,,,No,0,,3
4,375,Pacific,Southwest Pacific,Fiji,,-19.933329999999998,-179.83333000000002,Moala Group,Barrier,Totoya,,Exploring Isles,No,0,,3
5,305,Pacific,Southwest Pacific,Fiji,,-16.816670000000002,-179.71667,Vanua Levu,Fringing,Qamea,,Vanua Levu,No,1,,3
6,50,Pacific,Southwest Pacific,Fiji,,-16.53333,-179.68333,Ringgold Isles,Pseudo-atoll,Budd Reef Islets,,Ringgold Isles,No,0,,3
7,4462,Pacific,Southwest Pacific,Fiji,,-16.5,-179.66666999999998,Budd Reef,Pseudo-atoll,Yavu,,,No,0,,3
8,4463,Pacific,Southwest Pacific,Fiji,,-16.5,-179.66666999999998,Budd Reef,Pseudo-atoll,Maqewa,,,No,0,,3
9,4461,Pacific,Southwest Pacific,Fiji,,-16.5,-179.66666999999998,Budd Reef,Pseudo-atoll,Yanuca,,,No,0,,3
10,4464,Pacific,Southwest Pacific,Fiji,,-16.5,-179.66666999999998,Budd Reef,Pseudo-atoll,Beka,,,No,0,,3
11,162,Pacific,Southwest Pacific,Fiji,,-16.75,-179.65,Vanua Levu,Fringing,Laucala,,Vanua Levu,No,0,,3
12,196,Pacific,Southwest Pacific,Fiji,,-16.76667,-179.65,Vanua Levu,Barrier,Matagi,,Vanua Levu,No,1,,3
13,4465,Pacific,Southwest Pacific,Fiji,,-16.46667,-179.61667,Budd Reef,Pseudo-atoll,Cobia,,,No,0,,3
14,8348,Pacific,Southwest Pacific,Fiji,,-16.55,-179.6,Budd Reef,Pseudo-atoll,Tovuka,,,No,0,,3
15,4466,Pacific,Southwest Pacific,Fiji,,-16.55,-179.6,Budd Reef,Pseudo-atoll,Raranitiqa,,,No,0,,3
16,270,Pacific,Southwest Pacific,Fiji,,-17.3,-179.58333000000002,Exploring Isles,Fringing,Nukutolu Islets,,Exploring Isles,No,0,,3
17,4460,Pacific,Southwest Pacific,Fiji,,-16.683329999999998,-179.56667,Laucala,Platform,Motualevu Reef,,,No,0,,3
18,4474,Pacific,Southwest Pacific,Fiji,,-17.3,-179.53333,Nukutolu Islets,Fringing,Nasaqa,,,No,0,,3
19,4473,Pacific,Southwest Pacific,Fiji,,-17.3,-179.53333,Nukutolu Islets,Fringing,Korosiga,,,No,0,,3
20,4472,Pacific,Southwest Pacific,Fiji,,-17.3,-179.53333,Nukutolu Islets,Fringing,Koronidre,,,No,0,,3
21,413,Pacific,Southwest Pacific,Fiji,,-17.26667,-179.51667,Exploring Isles,Fringing,Yacata,,Exploring Isles,No,0,,3
22,399,Pacific,Southwest Pacific,Fiji,,-17.46667,-179.5,Exploring Isles,Fringing,Vatu Vara,,Exploring Isles,No,0,,3
23,137,Pacific,Southwest Pacific,Fiji,,-17.28333,-179.46667,Exploring Isles,Fringing,Kaibu,,Exploring Isles,No,0,,3
24,244,Pacific,Southwest Pacific,Fiji,,-18.7,-179.45,Exploring Isles,Atoll,Navatu,,Exploring Isles,No,0,,3
25,266,Pacific,Southwest Pacific,Fiji,,-16.3,-179.41666999999998,Ringgold Isles,Platform,Nukusemanu,,Ringgold Isles,No,0,,3
26,402,Pacific,Southwest Pacific,Fiji,,-16.0,-179.41666999999998,Ringgold Isles,Fringing,Vetauua,,Ringgold Isles,No,0,,3
27,118,Pacific,Southwest Pacific,Fiji,,-16.45,-179.4,Ringgold Isles,Barrier,Heemskercq,,Ringgold Isles,No,0,,3
28,240,Pacific,Southwest Pacific,Fiji,,-16.71667,-179.4,Ringgold Isles,,Nanuku Reef Islets,,Ringgold Isles,No,0,,3
29,61,Pacific,Southwest Pacific,Fiji,,-17.75,-179.33333000000002,Exploring Isles,Fringing,Cicia,,Exploring Isles,No,0,,3
30,173,Pacific,Southwest Pacific,Fiji,,-17.46667,-179.26667,Exploring Isles,Fringing,Mago,,Exploring Isles,No,0,,3
31,306,Pacific,Southwest Pacific,Fiji,,-16.08333,-179.26667,Ringgold Isles,Atoll,Qelelevu,,Ringgold Isles,No,0,,3
32,4,Pacific,Southwest Pacific,Fiji,,-16.33333,-179.25,Ringgold Isles,Atoll,Adolphus Reef,,Ringgold Isles,No,0,,3
33,231,Pacific,Southwest Pacific,Fiji,,-17.066670000000002,-179.23333,Lau Islands,Fringing,Naitauba,,Lau Islands,No,0,,3
34,263,Pacific,Southwest Pacific,Fiji,,-16.4,-179.2,Ringgold Isles,Atoll,Nukubasaga,,Ringgold Isles,No,0,,3
35,262,Pacific,Southwest Pacific,Fiji,,-16.4,-179.2,Ringgold Isles,Atoll,Nukubalati ( Nukupureti ),,Ringgold Isles,No,0,,3
36,396,Pacific,Southwest Pacific,Fiji,,-18.41667,-179.2,Exploring Isles,Fringing,Vanua Vatu,,Exploring Isles,No,0,,3
37,182,Pacific,Southwest Pacific,Fiji,,-17.133329999999997,-179.16666999999998,Lau Islands,Fringing,Malima,,Lau Islands,No,0,,3
38,4470,Pacific,Southwest Pacific,Fiji,,-18.21667,-179.11667,Fiji,,Lau Islands,,,No,1,,3
39,138,Pacific,Southwest Pacific,Fiji,,-17.26667,-179.1,Exploring Isles,Fringing,Kanacea,,Exploring Isles,No,0,,3
40,407,Pacific,Southwest Pacific,Fiji,,-16.8,-179.01667,Lau Islands,Atoll,Wailagilala,,Lau Islands,No,0,,3
41,148,Pacific,Southwest Pacific,Fiji,,-17.05,-178.98333,Lau Islands,Barrier,Kibobo,,Lau Islands,No,0,,3
42,246,Pacific,Southwest Pacific,Fiji,,-18.0,-178.98333,Exploring Isles,Fringing,Nayau,,Exploring Isles,No,0,,3
43,4476,Pacific,Southwest Pacific,Fiji,,-17.23333,-178.96667,Vanua Balavu,Barrier,Qilaqila Reef,,,No,0,,3
44,135,Pacific,Southwest Pacific,Fiji,,-19.0,-178.96667,Exploring Isles,Barrier,Kabara,,Exploring Isles,No,0,,3
45,4469,Pacific,Southwest Pacific,Fiji,,-17.6,-178.95,Exploring Isles,Various structure types present,Exploring Isles,,,No,0,,3
46,394,Pacific,Southwest Pacific,Fiji,,-17.26667,-178.86667,Exploring Isles,Barrier/Fringing,Vanua Balavu,,Exploring Isles,No,0,,3
47,335,Pacific,Southwest Pacific,Fiji,,-17.25,-178.81667,Vanua Balavu,Fringing,Sovu,,Exploring Isles,No,1,,3
48,32,Pacific,Southwest Pacific,Fiji,,-17.25,-178.81667,Vanua Balavu,Fringing,Avea ( Yavea ),,Exploring Isles,No,0,,3
49,233,Pacific,Southwest Pacific,Fiji,,-17.25,-178.81667,Vanua Balavu,Fringing,Namalata ( Malata ),,Exploring Isles,No,0,,3
50,223,Pacific,Southwest Pacific,Fiji,,-17.25,-178.81667,Vanua Balavu,Fringing,Munia,,Exploring Isles,No,0,,3
51,4471,Pacific,Southwest Pacific,Fiji,,-17.26667,-178.81667,Vanua Balavu,Fringing,Susui,,,No,0,,3
52,401,Pacific,Southwest Pacific,Fiji,,-17.58333,-178.8,Exploring Isles,Fringing,Vekai,,Exploring Isles,No,0,,3
53,158,Pacific,Southwest Pacific,Fiji,,-18.25,-178.8,Exploring Isles,Atoll,Lakeba,,Exploring Isles,No,0,,3
54,386,Pacific,Southwest Pacific,Fiji,,-17.71667,-178.78333,Exploring Isles,Barrier/Fringing,Tuvuca,,Exploring Isles,No,0,,3
55,359,Pacific,Southwest Pacific,Fiji,,-17.76667,-178.78333,Exploring Isles,Patch Reef,Tavunuku-i-vanua,,Exploring Isles,No,0,,3
56,358,Pacific,Southwest Pacific,Fiji,,-18.9,-178.75,Exploring Isles,Barrier,Tavunasici,,Exploring Isles,No,0,,3
57,4490,Pacific,Southwest Pacific,Fiji,,-17.21667,-178.75,Exploring Isles,Fringing,Tuvana-i-ra,,,No,0,,3
58,63,Pacific,Southwest Pacific,Fiji,,-17.3,-178.73333,Vanua Balavu,Barrier/Fringing,Cikobia-i-lau,,Exploring Isles,No,0,,3
59,404,Pacific,Southwest Pacific,Fiji,,-18.96667,-178.73333,Exploring Isles,Atoll,Vuaqava,,Exploring Isles,No,0,,3
60,280,Pacific,Southwest Pacific,Fiji,,-18.633329999999997,-178.7,Exploring Isles,Fringing,Olorua,,Exploring Isles,No,0,,3
